datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,moonphase,conditions
2020-01-31,20.8,11.5,16.5,20.8,11.5,16.5,9.8,66.2,0.0,0.0,noprecip,23.8,13.0,115.5,1020.2,35.2,8.7,145.2,12.5,0.2,Partially cloudy
2020-02-01,16.9,14.9,16.0,16.9,14.9,16.0,13.1,82.7,0.099,4.17,rain,14.4,9.4,17.5,1018.9,82.5,6.3,43.5,3.6,0.24,"Rain, Partially cloudy"
2020-02-02,20.0,16.0,17.7,20.0,16.0,17.7,15.6,87.9,0.1,4.17,rain,20.9,7.6,22.1,1018.4,84.1,3.3,79.0,6.8,0.25,"Rain, Partially cloudy"
2020-02-03,20.3,15.0,17.6,20.3,15.0,17.6,16.4,92.9,0.793,8.33,rain,40.3,24.1,24.1,1017.2,78.9,4.9,47.2,4.1,0.3,"Rain, Partially cloudy"
2020-02-04,14.5,13.5,14.1,14.5,13.5,14.1,12.6,90.9,4.252,12.5,rain,21.6,17.5,18.8,1019.2,70.5,8.7,26.8,2.2,0.33,"Rain, Partially cloudy"
2020-02-05,15.0,14.0,14.3,15.0,14.0,14.3,13.2,93.1,1.592,8.33,rain,15.5,11.2,37.9,1018.2,77.7,7.4,32.8,2.9,0.37,"Rain, Partially cloudy"
2020-02-06,19.5,15.0,16.9,19.5,15.0,16.9,15.4,90.9,0.099,4.17,rain,19.4,10.0,314.4,1016.2,80.3,4.8,81.8,7.1,0.4,"Rain, Partially cloudy"
2020-02-07,20.0,17.0,18.7,20.0,17.0,18.7,17.4,92.4,0.696,8.33,rain,26.6,14.5,327.2,1018.5,83.2,4.6,20.2,1.8,0.43,"Rain, Partially cloudy"
2020-02-08,19.2,16.5,17.6,19.2,16.5,17.6,15.6,88.3,2.969,12.5,rain,25.9,20.4,44.8,1021.8,82.9,7.8,30.3,2.6,0.46,"Rain, Partially cloudy"
2020-02-09,16.0,14.0,15.1,16.0,14.0,15.1,12.0,82.0,1.152,8.33,rain,25.9,18.4,28.8,1025.5,80.3,9.1,46.9,3.9,0.5,"Rain, Partially cloudy"
2020-02-10,18.6,14.0,16.3,18.6,14.0,16.3,12.4,78.0,0.099,4.17,rain,16.9,12.1,65.8,1021.7,77.6,8.3,109.0,9.3,0.53,"Rain, Partially cloudy"
2020-02-11,23.7,16.0,18.9,23.7,16.0,18.9,16.3,85.5,0.1,4.17,rain,23.8,14.8,102.1,1018.0,80.7,4.7,92.0,8.0,0.57,"Rain, Partially cloudy"
2020-02-12,23.4,18.0,20.4,23.4,18.0,20.4,18.4,88.9,0.397,12.5,rain,19.1,12.9,125.2,1015.1,78.3,4.0,68.6,5.9,0.6,"Rain, Partially cloudy"
2020-02-13,22.5,20.0,21.2,22.5,20.0,21.2,20.3,94.6,3.07,8.33,rain,29.5,14.8,107.6,1011.1,92.7,2.9,78.8,6.9,0.64,"Rain, Overcast"
2020-02-14,26.8,22.0,23.5,29.0,22.0,23.6,21.7,90.1,0.7,8.33,rain,24.5,22.3,103.2,1007.6,88.1,5.4,162.4,14.1,0.67,"Rain, Partially cloudy"
2020-02-15,28.5,23.0,24.9,31.1,23.0,25.4,22.0,84.9,0.002,4.17,rain,53.6,19.4,99.6,1009.4,68.6,7.2,133.1,11.5,0.71,"Rain, Partially cloudy"
2020-02-16,22.0,17.0,18.9,22.0,17.0,18.9,8.0,49.8,0.23,8.33,rain,40.3,28.6,26.0,1020.9,63.5,10.0,162.0,14.1,0.75,"Rain, Partially cloudy"
2020-02-17,20.5,16.0,17.6,20.5,16.0,17.6,5.8,46.3,0.0,0.0,noprecip,28.8,18.6,38.8,1026.1,75.4,10.0,149.1,13.0,0.78,Partially cloudy
2020-02-18,21.1,15.0,17.8,21.1,15.0,17.8,5.5,46.1,0.0,0.0,noprecip,19.1,16.6,84.9,1024.8,59.6,10.1,177.7,15.4,0.81,Partially cloudy
2020-02-19,21.9,15.0,18.2,21.9,15.0,18.2,11.1,64.3,0.0,0.0,noprecip,16.9,10.3,62.2,1022.3,72.5,9.2,156.0,13.5,0.85,Partially cloudy
2020-02-20,19.8,17.7,18.5,19.8,17.7,18.5,16.0,85.3,0.099,4.17,rain,16.2,12.1,304.1,1022.1,76.0,3.8,70.6,6.0,0.88,"Rain, Partially cloudy"
2020-02-21,22.5,17.0,19.2,22.5,17.0,19.2,16.8,86.7,0.099,4.17,rain,30.2,13.9,288.3,1025.0,57.4,2.8,86.4,7.4,0.91,"Rain, Partially cloudy"
2020-02-22,24.1,17.0,19.7,24.1,17.0,19.7,17.1,86.0,0.1,4.17,rain,22.0,11.1,290.5,1025.5,56.4,3.6,176.5,15.4,0.95,"Rain, Partially cloudy"
