datetime,conditions,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
2020-01-01,Rain,-3.394360944650484,0.5727539242933843,-2.21787618526311,0.13233786587674046,-0.7133833856812554,-0.6341794706748762,-0.5009421096864265,-0.7287775818968002,-0.1950288979253206,0.07959802567199505
2020-01-02,Rain,-2.9400340724719793,0.8170573060622405,-1.137043038172617,0.2521542761417893,-0.6601310935086111,-0.5599075022338165,-0.6611142457759104,0.1405701393206488,-0.9724586080067807,0.3697114200732119
2020-01-03,Rain,-1.950578781312103,1.022597292309078,0.569885424411325,-1.2239314300115343,-0.6397200967849558,-0.816939032110843,-1.3830521513124772,1.657143789256482,0.6091411455729157,0.2139957538715984
2020-01-04,Rain,-2.3251617298677454,1.1658722294863457,0.32759673083406593,-0.08517843747197616,-0.6249392188999275,-0.012206718282023514,-0.47470772099883285,0.23256738795896784,-1.2985912585934927,0.6893803366803521
2020-01-05,Rain,-2.3261029202360537,0.9413449961551913,-0.08952973499103517,0.27578863458422853,-0.864203119500259,0.449609424966578,-0.6919006131729649,0.41636253496940245,-1.357692257875153,-0.34242092939131497
2020-01-06,Rain,-1.4899182506640307,0.6412297766372859,1.4515175886964495,-0.30116064005488086,-0.732823308813501,0.3628544733858043,-1.1521216555258182,1.1956254710750496,-1.1167336744336154,0.1276083778468065
2020-01-07,Rain,-2.3632418193470475,1.1212795119623302,-1.8513210878139224,0.45302802730473146,-0.21511677251086694,-0.37482814069827775,-0.33160851809966874,0.1193989323402444,-0.7742353768601958,0.28344302334711563
2020-01-08,Rain,-1.1057217531128234,0.582475011502302,1.1509012136065653,-0.8246073713526368,-0.36600845121315095,-0.1263089855929737,-1.2122320436639156,2.2608893631019824,-0.355520153681263,0.9361586731975687
2020-01-09,Rain,-1.127566835894113,-0.1912175740947397,0.2703412134000201,0.12390602801036338,-0.1583920290995541,0.21716231321106497,-0.626912373531735,-0.1105745784662551,-0.6525948193642539,-0.3676500901647568
2020-01-10,Cloudy,-0.997855365417992,-0.4845833817630774,0.6568933335387223,0.015262929603756028,-0.1706770176936563,0.5332540474162987,-0.5752349389388111,-0.20497526954858442,-0.9867020981749126,0.04429254294152622
2020-01-11,Rain,-1.9116846578721562,1.6448904885188544,3.0307596674723247,-0.7643354459660899,-0.2684079145227029,0.29528512120184197,-1.6741497902023246,2.7750913556282812,-0.5353684266198017,-0.3423017936947792
2020-01-12,Rain,-4.63023566239816,-0.26654358384123694,0.9293218042126902,-0.349435201519281,1.0599086784726701,-0.9608858180555491,0.07830899411658393,-0.8791163960522829,0.6790681057802292,0.5983126794723972
2020-01-13,Rain,-4.734175746468837,0.9694732875660654,-1.8585225235196399,1.027368829837303,0.6262117658841605,-0.3511035552285227,0.10436238377712419,-0.16140437184649253,-0.5577085652724715,-0.22878765050700625
