datetime,target_temp,target_conditions,temp_lag_12AM,feelslike_lag_12AM,humidity_lag_12AM,dew_lag_12AM,precip_lag_12AM,snow_lag_12AM,preciptype_lag_12AM,windgust_lag_12AM,windspeed_lag_12AM,pressure_lag_12AM,visibility_lag_12AM,cloudcover_lag_12AM,conditions_lag_12AM,winddir_sin_lag_12AM,winddir_cos_lag_12AM,tempmax_lag,tempmin_lag,temp_lag,feelslikemax_lag,feelslikemin_lag,feelslike_lag,dew_lag,humidity_lag,precip_lag,precipcover_lag,preciptype_lag,windgust_lag,windspeed_lag,sealevelpressure_lag,cloudcover_lag,visibility_lag,solarradiation_lag,solarenergy_lag,conditions_lag,winddir_sin_lag,winddir_cos_lag,rolling_precip_3day,day_of_year_sin,day_of_year_cos,winddir_diff_2h,winddir_diff_day,cloud_cover_trend_2h,diurnal_temp_range,dewpoint_depression,humidity_momentum,pressure_trend_overnight
2020-01-18,15.1,Rain,14.0,14.0,93.7,13.0,0.0,0.0,noprecip,0.0,10.3,1019.0,4.0,69.9,Cloudy,0.766044443118978,0.6427876096865394,18.8,14.0,16.2,18.8,14.0,16.2,12.3,77.7,0.002,4.17,rain,19.8,22.3,1019.1,86.6,8.9,34.0,3.0,Rain,0.6293203910498374,0.7771459614569709,3.802,0.3047192331091634,0.9524422234305676,41.0,11.0,-24.0,4.800000000000001,1.0,12.400000000000006,-1.2000000000000455
2020-01-19,14.9,Rain,15.0,15.0,93.7,14.0,0.0,0.0,noprecip,0.0,11.2,1019.0,4.0,57.3,Cloudy,0.573576436351046,0.8191520442889918,23.5,14.0,15.1,23.5,14.0,15.1,13.5,91.0,0.397,4.17,rain,16.2,13.0,1017.9,78.1,4.6,39.9,3.4,Rain,0.6794413042615165,0.7337298645028765,3.7990000000000004,0.321057654185271,0.9470596510722283,27.0,7.800000000000011,-36.60000000000001,9.5,1.0,-2.0,0.39999999999997726
2020-01-20,14.4,Rain,13.0,13.0,93.7,12.0,0.1,0.0,rain,0.0,7.4,1021.0,6.5,69.9,Rain,0.7071067811865475,0.7071067811865476,16.0,13.5,14.9,16.0,13.5,14.9,11.3,79.7,0.303,8.33,rain,22.0,17.5,1020.4,81.6,9.2,38.0,3.1,Rain,0.374606593415912,0.9271838545667874,0.7020000000000004,0.3373010691361842,0.9413968285264122,54.0,23.0,-21.39999999999999,2.5,1.0,9.400000000000006,-0.5
2020-01-21,17.9,Rain,15.0,15.0,93.7,14.0,0.0,0.0,noprecip,0.0,2.7,1020.0,3.0,69.9,Cloudy,-0.12879559657756298,0.9916711623830904,15.1,13.0,14.4,15.1,13.0,14.4,12.6,89.5,0.3,12.5,rain,13.7,10.3,1020.3,75.1,5.7,45.5,3.9,Rain,0.5635260489375714,0.8260982944957639,1.0000000000000004,0.3534446712740877,0.9354554315134164,17.399999999999977,41.69999999999999,0.0,2.0999999999999996,1.0,0.0,-1.0
2020-01-22,20.7,Rain,19.0,19.0,88.2,17.0,0.0,0.0,noprecip,0.0,7.6,1018.0,3.5,100.0,Cloudy,-0.7660444431189779,-0.6427876096865395,21.9,15.0,17.9,21.9,15.0,17.9,16.0,88.5,0.099,4.17,rain,27.0,13.9,1018.9,76.5,3.1,76.2,6.4,Rain,0.9935718556765875,-0.11320321376790671,0.7020000000000004,0.3694836834473831,0.9292372181882051,80.0,133.5,14.099999999999994,6.899999999999999,2.0,-5.700000000000003,-0.7000000000000455
2020-01-23,23.4,Rain,22.0,22.0,88.4,20.0,0.0,0.0,noprecip,0.0,14.8,1015.0,6.0,57.3,Cloudy,0.9659258262890683,-0.25881904510252085,24.1,17.7,20.7,24.1,17.7,20.7,18.3,86.5,0.099,4.17,rain,32.0,13.9,1016.1,82.0,4.7,93.4,8.0,Rain,-0.18395135061271964,-0.9829353491495544,0.49800000000000044,0.38541335945432564,0.9227440286201427,10.0,85.6,-40.5,6.400000000000002,2.0,4.1000000000000085,-0.8999999999999773
2020-01-24,21.9,Rain,21.5,21.5,91.2,20.0,0.0,0.0,noprecip,0.0,13.9,1015.0,6.0,57.3,Cloudy,0.8660254037844387,-0.4999999999999998,27.0,21.0,23.4,28.2,21.0,23.5,20.0,81.7,0.5,20.83,rain,34.2,22.3,1014.0,75.5,7.9,92.8,7.9,Rain,0.8038568606172174,-0.5948227867513411,0.6980000000000004,0.4012289854475009,0.9159777842484877,19.0,6.5,-34.0,6.0,1.5,1.1000000000000085,-0.20000000000004547
2020-01-25,17.7,Rain,20.0,20.0,94.0,19.0,0.0,0.0,noprecip,0.0,11.2,1014.0,8.5,69.9,Cloudy,0.9961946980917455,0.08715574274765814,23.0,21.0,21.9,23.0,21.0,21.9,20.6,92.3,6.929,8.33,rain,38.5,20.4,1013.8,75.1,6.0,48.3,4.2,Rain,0.9640954042341101,-0.2655561174868089,7.5280000000000005,0.4169258813287287,0.908940487313808,70.0,20.400000000000006,-24.0,2.0,1.0,0.0,-0.20000000000004547
2020-01-26,15.8,Rain,13.5,13.5,76.7,9.5,0.0,0.0,noprecip,0.0,16.6,1019.0,10.0,57.3,Cloudy,0.08715574274765817,0.9961946980917455,21.6,13.5,17.7,21.6,13.5,17.7,15.3,85.9,58.643,16.67,rain,41.0,26.8,1014.1,72.2,8.6,36.4,3.1,Rain,0.6101451639012676,0.7922896433551907,66.072,0.4324994021339788,0.901634220265486,37.0,32.599999999999994,-34.0,8.100000000000001,4.0,-6.700000000000003,0.10000000000002274
2020-01-27,14.8,Cloudy,15.0,15.0,67.4,9.0,0.0,0.0,noprecip,0.0,9.4,1018.0,10.0,43.4,Cloudy,0.984807753012208,0.17364817766693041,19.0,13.0,15.8,19.0,13.0,15.8,8.7,63.2,8.053,4.17,rain,30.2,23.2,1018.1,69.3,10.0,162.9,14.2,Rain,0.31399245596740494,0.9494254776419039,73.625,0.44794493940789115,0.8940611451454876,25.0,61.69999999999999,-46.6,6.0,6.0,9.600000000000009,0.10000000000002274
2020-01-28,14.8,Rain,14.5,14.5,65.0,8.0,0.0,0.0,noprecip,0.0,10.3,1018.0,10.0,100.0,Cloudy,0.7071067811865475,0.7071067811865476,16.5,13.0,14.8,16.5,13.0,14.8,7.1,60.2,0.0,0.0,noprecip,26.6,16.5,1016.9,68.5,10.0,138.8,12.1,Cloudy,0.5358267949789965,0.8443279255020152,66.696,0.4632579225674917,0.88622350294858,76.0,12.599999999999994,0.0,3.5,6.5,1.7999999999999972,0.0
2020-01-29,14.7,Rain,14.0,14.0,69.5,8.5,0.0,0.0,noprecip,0.0,8.5,1021.0,10.0,100.0,Cloudy,0.08715574274765817,0.9961946980917455,16.0,14.0,14.8,16.0,14.0,14.8,7.4,61.4,0.01,4.17,rain,24.5,17.0,1018.8,94.2,10.0,120.3,10.4,Rain,0.4019477766559601,0.9156625933395611,8.063,0.4784338202547012,0.8781236129591848,1.0,18.69999999999999,0.0,2.0,5.5,5.400000000000006,-0.6000000000000227
2020-01-30,15.4,Clear,13.0,13.0,87.7,11.0,0.0,0.0,noprecip,0.0,4.5,1023.0,6.0,0.0,Clear,-0.7660444431189781,0.6427876096865393,16.1,14.0,14.7,16.1,14.0,14.7,7.5,62.3,0.3,8.33,rain,25.2,14.8,1022.3,83.1,9.7,99.2,8.6,Rain,-0.01919744239969049,0.9998157121216442,0.31,0.49346814167723735,0.8697638720650646,42.0,48.89999999999998,-88.8,2.1000000000000014,2.0,15.100000000000009,-0.20000000000004547
2020-01-31,16.5,Cloudy,13.5,13.5,71.7,8.5,0.0,0.0,noprecip,0.0,8.5,1021.0,8.0,0.0,Clear,0.9659258262890683,-0.25881904510252085,20.4,10.5,15.4,20.4,10.5,15.4,7.3,63.2,0.0,0.0,noprecip,22.7,12.1,1021.9,16.5,9.1,193.8,16.7,Clear,0.294040325232304,0.9557930147983301,0.31,0.5083564379375122,0.8611467540480452,66.0,87.89999999999998,0.0,9.899999999999999,5.0,-10.599999999999994,0.0
2020-02-01,16.0,Rain,16.5,16.5,77.2,12.5,0.0,0.0,noprecip,0.0,2.7,1020.0,10.0,59.2,Cloudy,0.6252426563357051,-0.7804304073383298,20.8,11.5,16.5,20.8,11.5,16.5,9.8,66.2,0.0,0.0,noprecip,23.8,13.0,1020.2,35.2,8.7,145.2,12.5,Cloudy,0.9025852843498605,-0.43051109680829536,0.3,0.5230943033491326,0.8522748088519838,3.6999999999999886,25.80000000000001,-0.7999999999999972,9.3,4.0,0.5,-0.39999999999997726
