name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
cầu giấy,2020-01-01,23,19.9,21.1,23,19.9,21.1,17.4,79.9,0.198,100,4.17,rain,0,0,14.8,10.3,136.1,1023.8,83.9,5.7,54.1,4.6,2,,2020-01-01T06:33:45,2020-01-01T17:26:18,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
cầu giấy,2020-01-02,24,19.7,21.6,24,19.7,21.6,18.4,82.5,0.198,100,8.33,rain,0,0,21.6,15.7,92.7,1022.2,70.7,5.3,68.3,6.1,3,,2020-01-02T06:34:04,2020-01-02T17:26:56,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
cầu giấy,2020-01-03,25.5,20.3,22.6,25.5,20.3,22.6,18.5,78,0.8,100,33.33,rain,0,0,29.9,19.4,130.2,1020.2,73.2,8.9,94.3,8.1,4,,2020-01-03T06:34:23,2020-01-03T17:27:34,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
cầu giấy,2020-01-04,24.5,20,21.4,24.5,20,21.4,19.2,87.3,6.948,100,8.33,rain,0,0,30.2,21.4,102.8,1018.5,67.2,6.7,82.3,7,5,,2020-01-04T06:34:40,2020-01-04T17:28:12,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
cầu giấy,2020-01-05,24.5,19,21.3,24.5,19,21.3,19.2,88.1,2.969,100,8.33,rain,0,0,34.9,16.6,128.5,1017.4,69.9,6,112.1,9.7,4,,2020-01-05T06:34:56,2020-01-05T17:28:51,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
cầu giấy,2020-01-06,26.5,20,22.6,26.5,20,22.6,19,81.2,0.7,100,16.67,rain,0,0,40.3,23.2,125.5,1016,58.1,7.5,124.4,10.6,5,,2020-01-06T06:35:11,2020-01-06T17:29:30,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
cầu giấy,2020-01-07,25.9,20,22.2,25.9,20,22.2,19.9,87.4,2.869,100,8.33,rain,0,0,18.4,13,96.7,1016.2,70.3,5.6,71.8,6.2,3,,2020-01-07T06:35:25,2020-01-07T17:30:09,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
cầu giấy,2020-01-08,28,21,23.4,29.2,21,23.6,18.9,77,1.2,100,29.17,rain,0,0,32.4,25,127.2,1016.4,44,8,114,9.7,5,,2020-01-08T06:35:37,2020-01-08T17:30:49,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
cầu giấy,2020-01-09,28,21,23.6,28.9,21,23.8,19,76.3,0.001,100,4.17,rain,0,0,32.4,16.6,119.2,1014.7,68.1,8.3,137.5,11.8,5,,2020-01-09T06:35:48,2020-01-09T17:31:29,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
cầu giấy,2020-01-10,28,21,24,28.6,21,24.2,18.8,74.5,0,0,0,,0,0,33.8,19.4,136.6,1013.1,52.5,8.5,122.4,10.7,5,,2020-01-10T06:35:58,2020-01-10T17:32:09,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
